du_size,batch_size,transfer_time,throughput
50,1,25.683,2328.077
50,1,17.371,3442.059
50,1,14.593,4097.307
50,1,14.663,4077.747
50,1,14.592,4097.588
50,1,17.755,3367.615
50,1,23.531,2540.988
50,1,24.413,2449.187
50,1,21.891,2731.351
50,1,28.620,2089.168
50,1,26.388,2265.878
50,1,25.975,2301.906
50,1,18.241,3277.890
50,1,18.012,3319.565
50,1,17.699,3378.270
50,1,17.848,3350.067
50,1,17.836,3352.321
50,1,23.713,2521.486
50,1,22.056,2710.918
50,1,18.464,3238.302
50,1,18.502,3231.651
50,1,14.450,4137.855
50,1,17.545,3407.922
50,1,18.393,3250.802
50,1,18.404,3248.859
50,1,18.972,3151.592
50,1,22.143,2700.266
50,1,27.863,2145.928
50,1,27.075,2208.384
50,1,24.225,2468.194
50,1,18.128,3298.323
50,1,17.910,3338.470
50,1,26.238,2278.832
50,1,22.517,2655.416
50,1,18.014,3319.196
50,1,17.863,3347.254
50,1,18.009,3320.118
50,1,17.956,3329.918
50,1,20.025,2985.868
50,1,17.872,3345.568
50,1,17.915,3337.538
50,1,18.290,3269.109
50,1,18.264,3273.763
50,1,22.754,2627.758
50,1,26.046,2295.631
50,1,27.117,2204.964
50,1,27.725,2156.610
50,1,27.471,2176.550
50,1,28.139,2124.880
50,1,28.143,2124.578
50,1,23.810,2511.214
50,1,19.002,3146.616
50,1,27.270,2192.593
50,1,28.287,2113.763
50,1,28.189,2121.111
50,1,26.539,2252.986
50,1,18.281,3270.718
50,1,18.361,3256.468
50,1,18.362,3256.290
50,1,18.576,3218.777
50,1,21.234,2815.861
50,1,28.036,2132.687
50,1,27.968,2137.872
50,1,27.701,2158.478
50,1,27.706,2158.089
50,1,27.993,2135.963
50,1,27.901,2143.006
50,1,27.828,2148.627
50,1,27.604,2166.063
50,1,27.866,2145.697
50,1,27.723,2156.765
50,1,28.581,2092.019
50,1,27.376,2184.103
50,1,27.644,2162.929
50,1,27.749,2154.744
50,1,27.121,2204.638
50,1,28.132,2125.409
50,1,27.673,2160.662
50,1,28.208,2119.682
50,1,20.561,2908.030
50,1,16.431,3638.975
50,1,17.351,3446.026
50,1,18.081,3306.897
50,1,18.307,3266.073
50,1,18.237,3278.609
50,1,18.086,3305.983
50,1,17.648,3388.033
50,1,17.699,3378.270
50,1,17.704,3377.316
50,1,17.811,3357.027
50,1,18.099,3303.608
50,1,18.061,3310.559
50,1,18.140,3296.141
50,1,18.095,3304.338
50,1,17.893,3341.642
50,1,17.975,3326.398
50,1,17.796,3359.856
50,1,20.439,2925.388
50,1,19.270,3102.854
50,1,18.129,3298.141
50,2,9.632,6207.641
50,2,9.504,6291.246
50,2,9.993,5983.388
50,2,9.796,6103.716
50,2,8.836,6766.863
50,2,9.172,6518.971
50,2,8.214,7279.279
50,2,9.035,6617.820
50,2,7.449,8026.849
50,2,7.984,7488.978
50,2,7.626,7840.546
50,2,7.670,7795.567
50,2,7.332,8154.937
50,2,7.459,8016.088
50,2,7.364,8119.500
50,2,7.572,7896.461
50,2,7.374,8108.489
50,2,7.345,8140.504
50,2,7.448,8027.927
50,2,7.375,8107.390
50,2,7.389,8092.029
50,2,7.386,8095.315
50,2,7.323,8164.960
50,2,7.365,8118.398
50,2,7.424,8053.879
50,2,7.356,8128.331
50,2,7.446,8030.083
50,2,7.420,8058.221
50,2,9.569,6248.511
50,2,10.162,5883.881
50,2,9.668,6184.526
50,2,9.882,6050.597
50,2,9.671,6182.608
50,2,9.602,6227.036
50,2,9.009,6636.919
50,2,7.424,8053.879
50,2,7.359,8125.017
50,2,7.324,8163.845
50,2,7.418,8060.394
50,2,7.355,8129.436
50,2,7.443,8033.320
50,2,7.358,8126.121
50,2,7.346,8139.396
50,2,7.401,8078.908
50,2,7.433,8044.128
50,2,7.363,8120.603
50,2,7.334,8152.713
50,2,7.399,8081.092
50,2,7.383,8098.605
50,2,7.435,8041.964
50,2,7.349,8136.073
50,2,7.382,8099.702
50,2,7.362,8121.706
50,2,7.374,8108.489
50,2,7.348,8137.180
50,2,7.412,8066.919
50,2,7.370,8112.890
50,2,7.332,8154.937
50,2,7.433,8044.128
50,2,7.348,8137.180
50,2,7.388,8093.124
50,2,7.392,8088.745
50,2,7.412,8066.919
50,2,7.350,8134.966
50,2,7.386,8095.315
50,2,7.377,8105.192
50,2,9.699,6164.759
50,2,8.572,6975.268
50,2,10.186,5870.018
50,2,9.624,6212.801
50,2,9.585,6238.080
50,2,10.130,5902.468
50,2,14.291,4183.892
50,2,14.012,4267.200
50,2,13.027,4589.852
50,2,13.147,4547.958
50,2,14.391,4154.819
50,2,14.613,4091.699
50,2,14.385,4156.552
50,2,13.963,4282.174
50,2,14.316,4176.586
50,2,14.775,4046.836
50,2,14.614,4091.419
50,2,14.546,4110.546
50,2,14.754,4052.596
50,2,14.753,4052.871
50,2,14.712,4064.165
50,2,14.547,4110.263
50,2,13.111,4560.445
50,2,9.787,6109.329
50,2,9.961,6002.610
50,2,9.294,6433.398
50,2,9.541,6266.848
50,2,9.567,6249.817
50,2,9.276,6445.882
50,2,7.448,8027.927
50,2,7.419,8059.307
50,2,7.430,8047.376
50,2,7.392,8088.745
50,2,7.293,8198.547
50,4,3.870,15450.129
